PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,RA_FG_PCT,Paint_FGM,Paint_FGA,Paint_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left_Corner_FGM,Left_Corner_FGA,Left_Corner_FG_PCT,Right_Corner_FGM,Right_Corner_FGA,Right_Corner_FG_PCT,Above_Break_FGM,Above_Break_FGA,Above_Break_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT
1629009,Billy Preston,1612709893,CTN,21.0,7,15,0.467,3,8,0.375,2.0,16.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,9,22,0.409,0.0,0.0,0.0
1629045,Bonzie Colson,1612709893,CTN,22.0,30,38,0.789,13,34,0.382,8.0,22.0,0.364,1.0,5.0,0.2,2.0,5.0,0.4,20,47,0.426,0.0,0.0,0.0
202954,Brad Wanamaker,1612709915,MNE,29.0,5,9,0.556,1,3,0.333,4.0,12.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5,9,0.556,0.0,0.0,0.0
1629132,Braian Angola-Rodas,1612709925,LAK,24.0,5,6,0.833,2,4,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,5,13,0.385,0.0,1.0,0.0
204147,Brandon Fields,1612709924,ACC,30.0,6,16,0.375,3,12,0.25,4.0,8.0,0.5,2.0,8.0,0.25,1.0,4.0,0.25,15,36,0.417,0.0,0.0,0.0
1629164,Brandon Goodwin,1612709926,MHU,23.0,54,78,0.692,6,14,0.429,6.0,15.0,0.4,3.0,5.0,0.6,3.0,6.0,0.5,11,37,0.297,0.0,3.0,0.0
202688,Brandon Knight,1612709908,RGV,27.0,1,2,0.5,2,2,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1,8,0.125,,,
1629000,Brandon McCoy,1612709927,WIS,20.0,52,87,0.598,4,13,0.308,5.0,12.0,0.417,0.0,1.0,0.0,0.0,2.0,0.0,2,17,0.118,0.0,0.0,0.0
1629102,Brandon Sampson,1612709908,RGV,21.0,34,55,0.618,3,25,0.12,3.0,8.0,0.375,9.0,12.0,0.75,5.0,9.0,0.556,27,81,0.333,0.0,1.0,0.0
1627362,Briante Weber,1612709904,SXF,25.0,40,62,0.645,22,49,0.449,3.0,10.0,0.3,0.0,0.0,0.0,0.0,2.0,0.0,11,23,0.478,0.0,0.0,0.0
1628971,Bruce Brown,1612709917,GRD,22.0,4,10,0.4,8,18,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
203998,Bruno Caboclo,1612709908,RGV,23.0,42,60,0.7,5,17,0.294,0.0,4.0,0.0,5.0,13.0,0.385,6.0,11.0,0.545,16,42,0.381,0.0,0.0,0.0
1628576,Bryce Alford,1612709889,OKL,23.0,14,25,0.56,4,9,0.444,4.0,18.0,0.222,3.0,8.0,0.375,5.0,16.0,0.313,34,101,0.337,0.0,0.0,0.0
1628714,Buay Tuach,1612709919,WES,23.0,3,3,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0.5,0.0,1.0,0.0
204215,Bubu Palo,1612709904,SXF,27.0,18,33,0.545,4,17,0.235,3.0,9.0,0.333,3.0,7.0,0.429,1.0,5.0,0.2,5,9,0.556,0.0,0.0,0.0
201957,Byron Mullens,1612709925,LAK,29.0,10,15,0.667,0,10,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,25,0.4,0.0,0.0,0.0
1629190,C.J. Anderson,1612709913,ERI,22.0,14,20,0.7,1,7,0.143,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,2,7,0.286,0.0,2.0,0.0
203710,C.J. Williams,1612709911,IWA,28.0,14,23,0.609,4,12,0.333,3.0,10.0,0.3,3.0,4.0,0.75,3.0,5.0,0.6,13,43,0.302,0.0,0.0,0.0
203927,CJ Fair,1612709923,WCB,27.0,45,69,0.652,14,29,0.483,2.0,6.0,0.333,7.0,19.0,0.368,1.0,6.0,0.167,1,7,0.143,0.0,0.0,0.0
