ID,PTS,REB,AST,STL,BLK,TOV,FGper,threeper,FTper
1628663,6.89,5.3,1.85,0.61,0.87,0.89,0.421,0.219,0.532
202197,8.01,7.42,0.99,0.8,0.97,1.32,0.443,0.179,0.724
203542,8.81,9.26,0.77,0.51,1.5,2.18,0.452,0.0,0.551
1627372,5.94,5.83,0.51,0.8,1.68,0.71,0.491,0.0,0.693
1628609,8.85,5.2,1.13,0.92,0.28,0.93,0.343,0.303,0.722
201977,14.93,3.32,1.69,1.82,0.16,2.09,0.422,0.322,0.761
1626536,11.76,8.76,1.58,0.92,1.92,1.78,0.475,0.223,0.721
1627852,9.16,6.44,4.54,1.68,0.62,2.52,0.425,0.33,0.797
1628860,6.74,5.39,1.69,1.12,0.21,1.17,0.433,0.363,0.646
1628859,7.86,4.28,3.71,0.87,0.21,2.43,0.377,0.234,0.704
1628667,4.51,4.15,4.54,2.4,0.76,1.89,0.424,0.0,0.528
101187,12.4,3.47,2.83,1.44,0.19,2.22,0.419,0.306,0.715
1628391,10.36,4.75,1.77,0.86,0.61,2.42,0.442,0.299,0.834
1627738,9.49,8.09,0.3,1.48,2.05,0.51,0.479,0.0,0.681
1628647,7.26,7.88,0.75,0.55,1.39,1.44,0.481,0.0,0.568
204190,6.19,2.96,6.17,0.95,0.02,2.48,0.379,0.336,0.714
1628514,8.4,4.71,1.86,1.03,0.02,0.74,0.384,0.316,0.739
1627891,8.26,4.85,1.46,0.78,0.47,1.65,0.424,0.321,0.788
1628540,4.77,3.51,1.46,0.68,0.22,0.51,0.297,0.261,0.698
1628416,11.86,5.39,2.63,1.2,0.22,1.64,0.383,0.334,0.727
1628451,8.37,4.91,1.33,0.61,0.53,1.72,0.443,0.313,0.722
1628547,8.54,3.61,2.93,1.82,0.31,1.15,0.381,0.268,0.64
1628850,8.68,7.98,1.76,1.68,1.2,0.92,0.451,0.311,0.716
1628857,9.14,4.84,4.96,1.03,0.02,1.71,0.375,0.294,0.808
1628411,9.41,6.81,1.75,1.11,0.4,2.18,0.368,0.171,0.725
1628599,6.54,2.23,1.57,1.54,0.02,1.1,0.321,0.29,0.698
202876,6.7,7.51,0.76,1.31,1.11,1.93,0.477,0.162,0.599
1628697,3.43,3.06,5.75,0.82,0.4,2.3,0.329,0.182,0.711
1628666,6.72,4.33,5.26,1.99,0.57,1.7,0.405,0.257,0.646
1628432,8.95,5.05,3.65,0.91,0.79,2.26,0.326,0.275,0.742
1627761,10.0,6.14,2.74,1.78,0.57,2.01,0.462,0.257,0.643
201943,11.83,3.75,6.35,1.42,0.29,3.13,0.343,0.299,0.769
1627788,10.27,4.56,3.07,1.18,0.49,1.89,0.348,0.226,0.743
202513,10.01,2.75,6.68,1.83,0.14,4.86,0.364,0.321,0.734
1628871,9.01,3.43,6.77,1.37,0.44,1.86,0.429,0.371,0.646
1626166,15.28,4.36,5.7,1.84,0.27,2.35,0.382,0.291,0.792
1628731,4.8,5.63,1.24,1.57,0.27,2.14,0.305,0.239,0.681
204155,5.18,4.02,1.82,0.82,0.38,1.63,0.327,0.142,0.718
1628463,12.43,8.57,0.47,0.71,0.55,1.06,0.452,0.345,0.814
1628704,5.73,5.63,1.63,1.02,0.27,2.1,0.351,0.219,0.627
1627758,7.5,3.29,2.64,2.07,0.22,2.2,0.398,0.356,0.739
1627958,7.44,3.25,1.17,1.37,0.5,1.02,0.345,0.268,0.73
1627649,11.47,4.51,2.84,1.49,0.17,1.39,0.374,0.248,0.736
