ID,PTS,REB,AST,STL,BLK,TOV,FGper,threeper,FTper
203958,10.2,2.52,1.74,0.9,0.2,1.11,0.376,0.32,0.741
1628505,9.06,5.56,4.61,1.18,0.17,1.55,0.39,0.302,0.765
1627820,12.77,4.85,4.59,1.37,0.58,3.0,0.417,0.255,0.688
1628230,6.57,2.6,3.33,1.28,0.67,1.15,0.37,0.279,0.717
203585,9.59,4.24,2.01,1.1,0.25,0.88,0.418,0.291,0.699
1626146,12.98,8.46,1.14,0.63,0.91,2.06,0.476,0.259,0.728
1627762,10.36,8.81,1.01,0.77,0.68,1.25,0.48,0.312,0.727
1627743,10.25,3.83,4.92,1.24,0.39,2.16,0.395,0.291,0.747
1626586,10.05,3.23,4.37,1.68,0.21,2.5,0.389,0.32,0.784
204002,9.54,9.37,1.26,0.5,2.82,2.14,0.501,0.0,0.701
1627912,5.12,7.16,3.84,1.39,0.34,1.27,0.41,0.187,0.59
203195,9.05,6.38,0.87,0.6,1.25,1.62,0.431,0.0,0.712
1627938,8.26,7.47,2.26,1.21,0.47,0.9,0.431,0.283,0.76
202721,12.28,3.68,5.79,1.1,0.09,2.74,0.401,0.302,0.756
1628503,10.86,4.34,1.65,1.02,0.36,1.39,0.438,0.299,0.741
1627430,7.46,2.4,2.19,0.82,0.26,0.99,0.373,0.306,0.758
1627858,6.54,7.05,4.45,1.55,0.58,1.8,0.402,0.284,0.619
203923,12.6,4.39,2.63,1.31,0.42,1.83,0.384,0.304,0.752
1627875,9.75,4.68,2.84,0.97,0.31,1.15,0.443,0.323,0.792
1627816,12.12,6.58,1.36,0.82,1.1,1.9,0.463,0.299,0.724
1628012,8.31,5.15,1.92,1.36,0.76,1.98,0.377,0.297,0.731
1628518,10.71,10.28,1.77,0.95,0.57,1.48,0.51,0.21,0.712
201966,11.06,3.33,1.89,1.33,0.4,1.9,0.389,0.295,0.703
1628453,10.25,2.92,4.76,1.01,0.24,2.62,0.391,0.303,0.78
1628477,9.73,9.87,1.55,0.32,1.55,2.24,0.49,0.0,0.719
