Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Mustafa Shakur,201203,OKL,33,13,10.1,0.4,4.0,3.6,7.6,189.30666666666667,3.0,0.302,2.7,0.143,1.1,2.3,0.5,2.9,2.1,0.6
Mychal Mulder,1628539,WCB,23,48,9.5,1.9,5.2,1.9,10.8,1484.7866666666666,4.0,0.417,5.8,0.328,0.9,1.4,0.684,0.8,1.3,0.3
Myke Henry,1627988,MHU,25,38,15.1,2.6,6.6,2.8,20.8,1075.9533333333334,7.6,0.501,6.6,0.394,3.1,4.1,0.754,3.0,2.0,0.7
Najeal Young,1628704,SCW,24,28,8.9,0.3,7.3,1.7,8.5,257.65833333333336,3.2,0.359,1.5,0.182,1.8,3.2,0.565,2.7,1.1,0.3
Nate Wolters,203489,SLC,27,13,14.7,1.0,5.8,7.1,15.9,453.35,6.0,0.411,3.6,0.267,2.9,3.3,0.878,2.8,1.0,0.1
Naz Mitrou-Long,1628513,SLC,24,40,14.6,3.5,6.2,4.7,18.5,1399.835,6.2,0.424,9.3,0.377,2.7,3.1,0.86,3.1,1.2,0.1
Negus Webster-Chan,1628017,RAP,25,19,9.1,3.3,6.3,1.6,10.9,250.39,3.7,0.413,7.9,0.418,0.1,0.3,0.5,2.2,0.7,0.3
Nick Johnson,203910,AUS,25,48,12.4,1.9,4.6,4.4,13.5,1503.9,4.4,0.354,5.3,0.359,2.8,3.3,0.839,2.4,1.4,0.3
Nicolas Brussino,1627852,ERI,25,8,11.5,2.1,8.6,5.8,14.4,187.34666666666666,5.4,0.467,5.8,0.367,1.5,1.5,1.0,3.8,2.5,0.6
Nigel Hayes,1628502,RAP,23,43,13.4,2.5,6.4,2.2,15.9,1463.46,5.9,0.442,5.9,0.423,1.6,2.2,0.722,1.9,1.4,0.2
Nnanna Egwu,1626295,GRD,25,1,17.5,0.0,0.0,0.0,17.5,4.116666666666666,8.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivier Hanlan,1626152,AUS,25,44,14.0,1.9,3.3,3.2,17.3,1344.5483333333334,6.4,0.456,5.1,0.368,2.6,3.2,0.802,1.9,0.9,0.1
Omari Johnson,204179,MHU,29,44,17.1,4.0,8.2,2.1,21.4,1226.48,7.9,0.459,9.6,0.417,1.6,2.0,0.824,2.0,0.6,0.8
Ousmane Drame,1627945,WES,26,5,5.7,2.1,7.8,2.9,10.7,50.461666666666666,4.3,0.75,2.1,1.0,0.0,0.0,0.0,1.4,1.4,1.4
PJ Dozier,1628408,OKL,21,43,13.9,1.6,7.1,3.6,16.4,1224.5083333333334,6.4,0.464,4.7,0.338,1.9,3.0,0.653,2.8,1.7,0.3
Patrick McCaw,1627775,SCW,22,2,18.5,1.2,5.5,4.3,17.3,58.416666666666664,6.8,0.367,6.2,0.2,2.5,2.5,1.0,2.5,1.8,0.0
Paul Watson,1628778,WES,23,45,7.2,1.4,4.6,1.3,8.4,1200.2616666666668,3.1,0.427,3.9,0.369,0.8,1.5,0.531,1.4,1.1,0.6
Paul Zipser,1627835,WCB,24,2,12.7,1.9,6.1,3.3,16.9,76.66666666666667,6.1,0.481,5.6,0.333,2.8,2.8,1.0,3.8,0.5,0.9
Perry Jones III,203103,IWA,26,26,14.0,1.5,7.7,2.4,16.4,610.6333333333333,6.4,0.46,4.5,0.325,2.1,2.9,0.72,2.3,1.1,0.9
Peter Jok,1628514,NAS,24,27,10.7,3.4,6.1,2.0,13.6,348.9,4.5,0.423,9.0,0.379,1.1,1.4,0.786,0.9,1.1,0.0
Prince Ibeh,1627813,LIN,23,32,7.5,0.0,9.1,0.7,9.4,368.495,4.3,0.571,0.0,0.0,0.8,3.6,0.216,2.6,1.1,4.5
Prince Williams,1627999,IWA,25,23,9.2,1.3,3.3,2.8,9.5,272.6383333333333,3.7,0.4,4.6,0.286,0.8,1.2,0.667,2.4,1.7,0.5
Princeton Onwas,1628756,WES,24,3,6.6,0.0,6.6,1.3,6.6,27.445,1.3,0.2,2.6,0.0,3.9,5.2,0.75,2.6,1.3,0.0
Quinn Cook,1626188,SCW,25,29,17.6,2.9,4.6,8.1,25.3,1041.9816666666666,9.3,0.527,6.5,0.439,3.9,4.1,0.949,3.8,0.9,0.3
Quinton Chievous,1627899,SCW,25,10,11.4,1.9,4.7,1.7,15.4,151.71166666666667,5.9,0.521,5.2,0.364,1.7,2.4,0.7,2.8,1.7,0.0
RJ Hunter,1626154,RGV,24,45,17.5,4.3,4.0,3.7,23.8,1387.3333333333333,7.8,0.444,11.4,0.377,4.0,5.0,0.803,2.3,1.7,0.5
Rahlir Hollis-Jefferson,204112,NAS,26,48,10.4,1.3,7.8,2.1,14.1,1209.6033333333332,5.0,0.481,3.7,0.352,2.7,3.7,0.74,1.9,2.2,1.5
Raphiael Putney,204192,ERI,28,46,16.4,2.6,10.2,2.2,20.4,1326.7216666666666,7.5,0.455,7.7,0.338,2.8,3.6,0.789,3.1,1.5,2.9
Rashawn Thomas,1628577,OKL,23,46,14.1,1.1,9.1,3.4,17.4,1324.3716666666667,6.5,0.458,4.3,0.248,3.4,5.1,0.668,3.3,1.8,1.1
