Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Tre'Lun Banks,1628779,IWA,23,1,0.0,0.0,0.0,31.5,0.0,2.283333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Thompson,1628545,SCW,23,38,10.4,0.3,12.5,1.8,15.3,445.155,5.4,0.523,0.7,0.444,4.1,5.5,0.75,2.7,1.4,1.9
Trey Burke,203504,WES,25,26,19.7,2.6,3.2,5.3,25.9,960.8616666666667,9.6,0.488,6.2,0.416,4.0,4.9,0.831,2.6,1.9,0.2
Trey Davis,1628069,MNE,25,46,18.5,2.9,4.5,6.7,23.7,1164.4683333333332,7.8,0.418,7.6,0.38,5.3,6.2,0.864,3.1,1.8,0.2
Trey McKinney Jones,1626722,FWN,27,36,11.9,1.1,4.2,3.4,16.0,969.1416666666667,6.1,0.514,2.7,0.397,2.7,3.5,0.768,2.6,1.4,0.3
Troy Caupain,1628505,LAK,22,50,12.2,1.6,7.2,5.5,14.9,1881.9116666666666,5.3,0.436,4.5,0.347,2.7,3.3,0.841,2.0,1.4,0.2
Troy Williams,1627786,RGV,23,19,19.0,3.1,7.3,2.8,24.7,550.3016666666666,8.8,0.464,9.5,0.331,3.9,5.0,0.766,3.1,2.2,0.4
Tucker Haymond,1628735,AUS,23,31,11.1,1.4,3.9,2.9,14.5,211.47666666666666,4.8,0.431,3.4,0.4,3.6,4.4,0.808,1.4,1.7,0.3
Tyler Cavanaugh,1628463,ERI,24,11,16.3,3.2,11.1,0.7,22.0,259.93666666666667,8.0,0.492,7.1,0.451,2.8,2.9,0.952,1.8,0.7,0.7
Tyler Dorsey,1628416,ERI,22,10,17.3,3.8,7.0,2.9,20.8,330.7633333333333,7.3,0.421,9.0,0.422,2.4,3.2,0.759,2.1,1.4,0.2
Tyler Harris,1628523,WCB,24,40,15.2,0.0,8.3,2.8,18.3,1018.7183333333334,8.1,0.529,0.4,0.091,2.1,3.7,0.577,2.1,1.2,1.0
Tyler Lydon,1628399,RGV,22,15,10.8,2.2,9.8,2.4,14.5,469.44666666666666,5.6,0.518,6.1,0.367,1.1,1.5,0.737,0.9,1.1,0.7
Tyler Roberson,1628542,ACC,23,45,12.5,0.0,11.8,1.4,17.1,962.4316666666666,6.7,0.531,0.1,0.333,3.8,5.2,0.732,1.9,1.0,0.8
Tyree Murray,1628613,RNO,27,1,24.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrell Corbin,1628126,NAS,25,9,8.3,0.0,3.7,4.6,5.6,38.83166666666666,2.8,0.333,4.6,0.0,0.0,0.0,0.0,0.0,0.9,0.0
Tyrone Wallace,1627820,ACC,23,26,19.3,0.6,6.9,6.0,24.5,862.56,9.8,0.51,2.5,0.25,4.2,6.2,0.671,4.0,1.6,1.0
Tyrrel Tate,204155,TEX,26,22,7.4,0.1,5.2,1.9,7.5,263.34,2.3,0.315,1.8,0.077,2.7,3.7,0.741,2.1,0.8,0.4
Tyshawn Abbott,1628690,DEL,29,43,8.0,1.7,2.4,2.9,8.5,1126.7283333333332,3.0,0.371,5.3,0.315,0.9,1.1,0.8,2.1,1.1,0.2
V.J. Beachem,1628431,SBL,23,36,12.9,3.0,4.1,0.9,15.6,714.02,5.6,0.435,7.5,0.399,1.4,1.6,0.875,1.1,0.9,0.7
Vander Blue,203505,SBL,25,15,17.0,2.2,3.7,5.5,19.7,520.1466666666666,6.6,0.39,6.6,0.333,4.2,5.1,0.824,2.9,1.5,0.1
Vincent Hunter,1626205,MHU,23,13,15.9,0.4,10.9,2.8,20.6,366.37833333333333,7.6,0.475,2.3,0.174,5.1,7.3,0.703,3.5,1.4,1.7
Vitto Brown,1628665,MNE,22,45,12.3,2.4,7.8,1.1,14.2,925.08,5.2,0.424,6.4,0.372,1.4,1.8,0.787,1.7,0.6,0.8
Wade Baldwin IV,1627735,TEX,22,17,16.5,1.1,4.8,5.2,19.5,573.1116666666667,7.0,0.422,4.5,0.239,4.5,5.6,0.798,3.1,2.3,0.5
Wally Ellenson,1628131,OKL,24,3,19.4,4.8,14.5,0.0,14.5,7.428333333333334,4.8,0.25,14.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Walter Lemon Jr.,1627215,FWN,25,40,18.0,1.0,4.6,6.0,22.0,1463.2016666666666,8.8,0.49,3.3,0.309,3.3,4.4,0.768,3.1,1.9,0.2
Wayne Selden,1627782,MHU,23,1,24.1,2.0,6.0,10.0,30.1,17.95,6.0,0.25,10.0,0.2,16.0,18.1,0.889,4.0,2.0,0.0
Wes Iwundu,1628411,LAK,23,9,14.3,0.2,8.8,1.8,15.7,315.065,5.6,0.392,2.1,0.111,4.2,5.6,0.755,2.7,1.3,0.5
Wes Washpun,1628230,IWA,25,43,9.4,1.1,3.3,3.2,10.4,984.1233333333333,3.7,0.398,3.6,0.293,1.8,2.3,0.806,1.3,1.5,0.8
Wesley Da Silva,1628568,GRD,21,3,8.6,1.2,3.7,1.2,6.1,29.463333333333335,2.4,0.286,4.9,0.25,0.0,0.0,0.0,3.7,1.2,0.0
Will Davis,1627900,WCB,25,46,11.8,0.0,8.2,1.1,16.8,734.115,6.8,0.577,0.1,0.0,3.1,4.1,0.762,1.8,1.1,1.0
Willie Warren,202378,TEX,28,3,11.2,0.7,2.6,7.2,9.9,54.666666666666664,4.0,0.353,4.6,0.143,1.3,2.6,0.5,4.0,1.3,1.3
Winston Shepard,1628686,SCW,24,19,12.0,0.6,9.1,3.9,14.4,449.16,5.5,0.46,1.7,0.333,2.8,4.9,0.574,2.4,1.8,0.3
Xavier Gibson,1626536,LAK,29,22,12.6,0.3,11.3,2.3,20.6,368.89666666666665,6.8,0.543,1.6,0.188,6.6,8.9,0.747,2.2,2.0,2.7
Xavier Johnson,1628841,TEX,24,28,10.1,0.7,9.4,1.7,11.5,530.1266666666667,4.7,0.463,2.4,0.286,1.5,2.4,0.629,1.6,1.8,0.6
Xavier Munford,204098,WIS,25,34,17.1,2.3,4.9,5.1,23.9,1248.5,8.7,0.508,5.2,0.444,4.3,5.7,0.747,3.6,1.7,0.4
Xavier Rathan-Mayes,1628504,WES,24,43,15.0,1.6,6.5,7.3,16.9,1528.1266666666668,6.5,0.43,4.7,0.338,2.4,4.0,0.613,3.2,1.9,0.3
Xavier Silas,202918,NAS,30,43,15.0,3.9,4.6,2.0,20.3,1405.1783333333333,6.6,0.438,10.4,0.38,3.3,3.7,0.882,2.2,1.3,0.1
Yakuba Ouattara,1628473,LIN,26,12,15.7,1.1,4.6,1.0,17.0,188.25,6.7,0.427,6.5,0.176,2.5,3.3,0.765,2.5,1.3,0.8
Yannis Morin,1628734,OKL,24,33,9.5,0.2,8.9,1.9,12.4,551.3783333333333,5.2,0.545,1.2,0.167,1.9,2.9,0.659,1.8,1.1,2.0
Zach Andrews,202876,NAS,33,3,3.5,0.0,10.5,0.0,3.5,20.583333333333332,1.7,0.5,1.7,0.0,0.0,1.7,0.0,3.5,1.7,0.0
Zak Irvin,1628860,WES,23,12,8.7,0.3,7.0,1.8,10.4,367.2316666666667,4.6,0.528,0.6,0.5,0.9,1.5,0.6,1.5,1.3,0.2
Zeek Woodley,1628848,IWA,23,4,7.4,0.0,0.0,0.0,0.0,9.76,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.7,0.0
Zeke Marshall,203788,GRD,27,15,9.7,0.0,7.5,0.5,17.2,152.71833333333333,5.9,0.61,0.0,0.0,5.4,6.8,0.793,4.0,1.4,2.4
Zeke Upshaw,1626580,GRD,27,41,12.6,4.0,4.1,1.3,15.5,812.2866666666666,5.2,0.414,9.9,0.408,1.0,1.1,0.88,1.3,1.1,0.0
Zhou Qi,1627753,RGV,22,24,11.7,1.6,8.8,1.5,15.4,620.62,6.0,0.51,4.9,0.333,1.8,3.2,0.564,2.4,0.8,3.1
