Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Georges Niang,1627777,SLC,25,1,18.6,2.2,8.8,7.7,19.7,32.861666666666665,8.8,0.471,7.7,0.286,0.0,0.0,0.0,3.3,0.0,0.0
Gerard Tarin,1629279,SXF,21,7,10.9,0.0,17.9,1.3,16.0,56.30833333333333,4.5,0.412,0.0,0.0,7.0,10.9,0.647,1.3,0.6,0.6
Grayson Allen,1628960,SLC,23,2,13.5,3.6,2.1,2.1,20.8,69.12166666666667,6.8,0.5,9.9,0.368,3.6,4.7,0.778,1.6,1.6,0.0
Guerschon Yabusele,1627824,MNE,22,1,18.3,1.3,5.2,2.6,20.9,27.593333333333334,7.8,0.429,7.8,0.167,3.9,5.2,0.75,1.3,1.3,0.0
Gyorgy Goloman,1629275,WES,22,17,11.9,1.6,8.1,1.2,16.0,182.06166666666667,6.1,0.517,4.5,0.348,2.2,4.4,0.5,1.8,1.4,1.2
Hakim Warrick,101124,IWA,36,14,11.0,0.3,10.6,3.4,21.4,268.0233333333333,6.4,0.585,0.4,0.667,8.2,10.3,0.792,1.7,0.5,0.7
Harry Giles III,1628385,STO,20,1,32.5,3.1,6.2,3.1,46.4,23.283333333333335,20.1,0.619,6.2,0.5,3.1,3.1,1.0,4.6,1.5,0.0
Haywood Highsmith,1629312,DEL,22,14,12.7,2.0,8.4,3.4,15.3,451.17,5.6,0.44,5.1,0.391,2.2,3.0,0.73,2.5,1.2,0.8
Henry Ellenson,1627740,GRD,21,6,14.1,2.0,12.7,3.2,21.1,201.75,6.1,0.43,5.7,0.344,7.0,8.2,0.848,2.5,0.2,1.2
Ike Anigbogu,1628387,FWN,20,8,12.4,0.0,12.3,1.1,14.8,254.81833333333333,6.1,0.489,0.0,0.0,2.7,4.7,0.576,3.5,0.8,2.1
Ike Nwamu,1628095,WIS,25,10,11.3,1.5,3.8,2.1,11.3,219.08833333333334,4.1,0.362,6.4,0.231,1.6,2.5,0.667,3.5,1.5,0.2
Isaac Bonga,1629067,SBL,19,12,12.9,2.1,7.9,3.2,17.7,341.54833333333335,6.1,0.475,4.7,0.444,3.4,4.1,0.821,4.3,1.5,0.9
Isaac Hamilton,1628554,CTN,24,10,9.4,1.1,6.1,5.3,7.2,129.96,2.5,0.265,3.0,0.364,1.1,1.4,0.8,2.2,1.7,0.0
Isaac Humphries,1629353,ERI,20,12,10.6,1.1,8.6,1.3,14.4,254.43333333333334,5.8,0.547,2.5,0.444,1.7,2.3,0.75,2.5,1.4,0.8
Isaiah Armwood,1629311,CAP,27,6,5.5,0.0,8.4,1.5,6.6,98.345,2.6,0.467,0.7,0.0,1.5,1.8,0.8,2.2,1.5,1.1
Isaiah Briscoe,1628515,LAK,22,2,13.3,1.2,0.6,7.5,18.5,62.31666666666667,6.9,0.522,2.3,0.5,3.5,5.2,0.667,1.7,1.7,0.6
Isaiah Cousins,1627766,SLC,24,13,14.2,1.4,5.9,7.0,14.2,399.265,5.5,0.389,5.0,0.286,1.7,2.3,0.76,2.4,1.5,0.2
Isaiah Hartenstein,1628392,RGV,20,2,14.6,0.0,16.7,6.8,23.0,68.83333333333333,8.4,0.571,2.1,0.0,6.3,9.9,0.632,4.7,0.5,4.2
Isaiah Hicks,1628439,WES,24,15,15.4,0.4,9.6,2.3,20.1,485.42,7.9,0.514,1.6,0.273,3.8,5.0,0.761,3.3,1.0,2.3
Isaiah Wilkins,1629145,GBO,23,14,4.4,0.7,6.2,2.6,5.0,318.61833333333334,1.9,0.436,1.9,0.353,0.5,0.7,0.667,0.5,0.5,0.7
Ismael Sanogo,1629243,LIN,22,1,7.3,0.0,0.0,0.0,14.7,4.9,0.0,0.0,7.3,0.0,14.7,14.7,1.0,7.3,0.0,0.0
Ismaila Kane,1629226,MHU,21,7,8.7,1.2,6.2,0.6,9.9,58.13333333333333,3.1,0.357,4.3,0.286,2.5,2.5,1.0,1.9,0.6,1.2
Ivan Rabb,1628397,MHU,21,4,16.6,1.7,10.9,3.0,24.3,145.28333333333333,9.2,0.552,4.0,0.438,4.2,4.5,0.944,1.7,0.7,1.5
J.J. Avila,1627938,TEX,27,12,8.5,0.0,8.0,2.2,14.0,131.15833333333333,5.2,0.613,1.6,0.0,3.6,4.7,0.765,1.9,1.4,1.1
J.P. Macura,1629122,GBO,23,11,17.1,2.2,4.6,3.6,22.2,292.26166666666666,7.8,0.453,7.4,0.3,4.4,5.1,0.878,2.1,2.1,0.0
JaCorey Williams,1628580,CTN,24,13,18.6,0.0,9.4,1.9,24.4,309.62166666666667,10.6,0.569,0.0,0.0,3.3,5.2,0.622,2.6,1.6,0.7
JaKarr Sampson,203960,WCB,25,3,21.8,1.0,8.9,2.5,26.3,72.68333333333334,11.4,0.523,2.5,0.4,2.5,3.5,0.714,4.5,0.5,1.0
Jacob Evans,1628980,SCW,21,2,19.0,0.9,5.7,2.8,15.2,37.95166666666667,6.6,0.35,4.7,0.2,0.9,1.9,0.5,3.8,0.9,0.0
Jairus Lyles,1629131,SLC,23,14,14.1,2.4,4.7,6.5,17.2,342.8,5.3,0.373,6.2,0.39,4.3,5.1,0.837,2.7,2.1,0.6
Jaleel Cousins,1627902,SCW,25,9,6.3,0.0,6.3,1.9,11.9,57.58833333333333,3.8,0.6,0.0,0.0,4.4,8.1,0.538,5.0,4.4,0.6
Jalen Jones,1627883,CTN,25,1,23.5,0.0,4.4,1.5,26.4,24.533333333333335,10.3,0.438,5.9,0.0,5.9,10.3,0.571,2.9,1.5,0.0
Jameel McKay,1629297,WCB,26,2,5.9,0.0,8.9,3.0,11.9,12.116666666666667,5.9,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Jameel Warney,1627866,TEX,24,15,15.5,1.3,7.7,3.3,17.4,480.61,6.7,0.43,4.6,0.274,2.8,3.3,0.841,1.7,2.1,1.0
Jamel Artis,1628503,ACC,25,14,13.2,1.7,4.5,3.5,15.5,479.995,5.8,0.438,5.0,0.343,2.2,2.8,0.784,2.3,0.9,0.4
James Young,203923,WIS,23,12,15.1,3.4,7.0,2.8,22.4,412.995,6.9,0.457,7.6,0.448,5.2,6.3,0.833,2.8,1.6,1.0
Jared Brownridge,1628876,DEL,24,13,15.5,4.4,2.1,2.6,18.2,276.305,6.1,0.395,11.7,0.378,1.6,2.0,0.8,1.2,0.4,0.0
