ID,Two_Way_Flag,NBA_Team
1628443,1,1610612738
1627853,1,1610612741
1628503,1,1610612753
1628444,1,1610612738
1628469,1,1610612741
1628449,1,1610612744
1626148,1,1610612750
203900,1,1610612745
1627936,1,1610612747
1628429,1,1610612740
204022,1,1610612758
1627856,1,1610612759
1628470,1,1610612743
1628495,1,1610612751
1628408,1,1610612760
204067,1,1610612741
1627770,1,1610612765
1626780,1,1610612738
1627772,1,1610612760
203687,1,1610612765
1627988,1,1610612763
1628439,1,1610612752
1626199,1,1610612759
1627863,1,1610612756
1626154,1,1610612745
1627743,1,1610612755
1628518,1,1610612750
1627883,1,1610612742
1627884,1,1610612748
1628436,1,1610612752
203705,1,1610612737
1628493,1,1610612766
1628571,1,1610612762
1626259,1,1610612761
1628500,1,1610612754
1628420,1,1610612743
1628405,1,1610612742
204098,1,1610612749
1627777,1,1610612762
1627779,1,1610612766
1627780,1,1610612747
1628409,1,1610612756
1627850,1,1610612749
1628421,1,1610612764
203960,1,1610612758
1628424,1,1610612763
1628410,1,1610612754
1627820,1,1610612746
1628476,1,1610612748
1627821,1,1610612751
1628510,1,1610612737
203912,1,1610612757
